categoria,termino,definicion
Método de iniciación/Canal de acceso,ApMovil-Cercanía Sin Contacto,Método de iniciación donde quien realiza el pago (cliente ordenante) apoya su celular en un lector de NFC (tecnología sin contacto) del comercio (cliente receptor).
Método de iniciación/Canal de acceso,ApMovil-QR,Método de iniciación donde quien realiza el pago (cliente ordenante) escanea con su celular un código QR expuesto por el comercio (cliente receptor).
Método de iniciación/Canal de acceso,ApMovil-Botón de pago,Método de iniciación donde el cliente ordenante realiza el pago o transferencia ingresando a un link/botón dentro de una aplicación móvil.
Método de iniciación/Canal de acceso,ApWeb-Botón de pago,Método de iniciación donde el cliente ordenante realiza el pago o transferencia ingresando a un link/botón que se encuentra en un sitio Web.
Método de iniciación/Canal de acceso,TPV/TPVMovil-Banda magnética,"Método de iniciación donde el pago se realiza leyendo, con una terminal de punto de venta (POS), las credenciales de una tarjeta de pago a través de la banda magnética."
Método de iniciación/Canal de acceso,TPV/TPVMovil-Cercanía Sin Contacto,"Método de iniciación donde el pago se realiza leyendo, con una terminal de punto de venta (POS), las credenciales de una tarjeta de pago a través del chip NFC de tecnología sin contacto."
Método de iniciación/Canal de acceso,TPV/TPVMovil-Chip,"Método de iniciación donde el pago se realiza leyendo, con una terminal de punto de venta (POS), las credenciales de una tarjeta de pago a través del chip EMV."
Método de iniciación/Canal de acceso,Sucursal/Agente/Comercio,"Canal de acceso utilizado cuando un pago, depósito o extracción se realiza con efectivo en un comercio o agencia de recaudación."
Método de iniciación/Canal de acceso,Cajero automático,"Canal de acceso utilizado cuando un pago, depósito o extracción se realiza con efectivo a través de un cajero automático."
Método de iniciación/Canal de acceso,No disponible/No conocida,Concepto para utilizar en caso de no contar con la información del método de iniciación o canal de acceso de las operaciones.
Cuenta a acreditar,"Cuenta de pago ""comercial""",Se debe utilizar cuando los movimientos habituales de la cuenta están relacionados con la actividad comercial del cliente (puede ser persona humana o jurídica). El criterio para definir la categoría a partir de la habitualidad es atribución de cada PSPCP.
Cuenta a acreditar,"Cuenta de pago ""personal/no comercial""",Se debe utilizar cuando los movimientos no se relacionan con actividades comerciales (puede ser persona humana o jurídica).
Cuenta a acreditar,Cuenta de otro PSPCP,Se utiliza en el caso de que quien recibe el pago o transferencia acredite sus fondos en una cuenta de pago de otro PSPCP distinto a quien realiza la presentación al RI.
Cuenta a acreditar,Cuenta de EF,Se utiliza en el caso de que quien recibe el pago o transferencia acredite sus fondos en una cuenta bancaria.
Cuenta a acreditar,Otros,"Se utiliza en el caso de que los fondos no se acreditan en una cuenta, sino que son extraídos en efectivo."
Transferencias,De CVU a CBU,Transferencias cursadas desde CVU de clientes del PSPCP a cuentas en entidades financieras.
Transferencias,De CBU a CVU,Transferencias recibidas desde cuentas en entidades financieras a CVU de clientes del PSPCP.
Transferencias,De CVU a CVU acreditadas,Transferencias recibidas desde cuentas de pago (de otro PSPCP o del PSPCP que realiza la presentación) a la CVU de clientes del PSPCP.
Transferencias,De CVU a CVU debitadas,Transferencias cursadas desde CVU de clientes del PSPCP a cuentas de pago (de otro PSPCP o del PSPCP que realiza la presentación).
Medios de pago,"Transferencias inmediatas ""push""",Envíos de fondos que debitan la cuenta del cliente ordenante y acreditan la cuenta del cliente receptor de forma instantánea.
Medios de pago,"Transferencias inmediatas ""pull""","Solicitudes o pedidos de fondos que permiten mediante el débito de la cuenta -a la vista o de pago- del cliente receptor de la solicitud y previa autorización o consentimiento, tanto tácito como explícito, la acreditación inmediata de fondos en la cuenta del cliente solicitante."
Medios de pago,Pago con transferencia (PCT),Transferencias inmediatas utilizadas para realizar un pago por la adquisición de un bien y/o servicio con participación de un aceptador. El aceptador ofrece a los comercios las herramientas para cobrar con ese medio de pago. Los PCT cuentan con reglas comerciales distintas al resto de las transferencias inmediatas.
Medios de pago,Débito inmediato (DEBIN),"Transferencia en línea en la cual quien cobra inicia el trámite y quien paga solo debe aceptarlo (con una autorización operación por operación que se denomina ""DEBIN spot"" o con una autorización general para el caso de ""DEBIN recurrente""); no se informarán como DEBIN las transacciones de fondeo de cuentas propias, que se deben informar como transferencias inmediatas ""pull""."
